,log_spy_change,22_IV_AVG,5_IV_AVG,1_IV_AVG,jobless_claims,day_of_week,day_of_month,SPY_VOL,VIX_level,60_VIX_AVG
2010-02-08,-0.007245432676198678,0.2439353877749941,0.2439353877749941,0.2439353877749941,466000.0,0.0,8.0,224166900.0,26.51,21.628666666666668
2010-02-09,0.012481997727409015,0.245159984506755,0.245159984506755,0.2463845812385159,466000.0,1.0,9.0,337820500.0,26.0,21.678
2010-02-10,-0.0019605009972580314,0.24696058423073874,0.24696058423073874,0.2505617836787062,466000.0,2.0,10.0,240511500.0,25.4,21.697333333333333
2010-02-11,0.010411872484311857,0.24415390826455402,0.24415390826455402,0.23573388036599993,466000.0,3.0,11.0,223591600.0,23.96,21.707333333333334
2010-02-12,-0.0008326410328175799,0.23995275242490804,0.23995275242490804,0.22314812906632409,466000.0,4.0,12.0,304622100.0,22.73,21.704666666666665
2010-02-16,0.015612375225688,0.23622853139098166,0.23468716011417917,0.21760742622134976,489000.0,1.0,16.0,159317500.0,22.25,21.702
2010-02-18,0.005877866381446165,0.2335423627276144,0.22889531401595814,0.21742535074741093,489000.0,3.0,18.0,193708600.0,20.63,21.670166666666667
2010-02-19,0.0020715611721869066,0.23159807323352863,0.22238056663520256,0.2179880467749281,489000.0,4.0,19.0,222684900.0,20.02,21.634
2010-02-23,-0.012219059462125098,0.22948288999574162,0.21774607538069163,0.21256142409344536,500000.0,1.0,23.0,207497000.0,21.37,21.628666666666668
2010-02-26,0.0006323111295504433,0.22765186408129895,0.2153509757376899,0.21117263085131535,500000.0,4.0,26.0,173589300.0,19.5,21.4625
2010-03-02,0.002766729468347001,0.2258836105408464,0.21346970552068414,0.2082010751363209,488000.0,1.0,2.0,160992400.0,19.06,21.38383333333333
2010-03-09,0.0016613653392673357,0.223762009113425,0.21006951405355984,0.20042439341178941,472000.0,1.0,9.0,154556700.0,17.92,21.02583333333333
2010-02-17,0.00472731789454783,0.2235144944586274,0.21058076841878542,0.22054431860105606,489000.0,2.0,17.0,168845100.0,21.72,21.703500000000002
2010-03-10,0.004445825219290481,0.22223799193871935,0.20919717543607924,0.20564345917991467,472000.0,2.0,10.0,186088800.0,18.57,20.96333333333333
2010-03-04,0.0030229950733356103,0.22124882750935992,0.20844275436548187,0.20740052549832821,488000.0,3.0,4.0,135770400.0,18.72,21.281166666666667
2010-03-08,0.00017501313069807472,0.2198447142581685,0.20655914243627715,0.19878301549029737,472000.0,0.0,8.0,114631200.0,17.79,21.104833333333332
2010-02-24,0.009155682042859341,0.21934912501644666,0.20875820318369862,0.21141969714889675,500000.0,2.0,24.0,176350700.0,20.27,21.625166666666665
2010-02-22,0.0001799820043546634,0.2187108285244202,0.20622129709548145,0.20785978815997022,500000.0,0.0,22.0,132346900.0,19.94,21.613666666666667
2010-02-25,-0.00135448123425451,0.21820330597718157,0.20690618528487575,0.20906790012688622,500000.0,3.0,25.0,259634700.0,20.1,21.546
2010-03-05,0.014192146242422751,0.21735421345040468,0.205670371273539,0.20122145544164452,488000.0,4.0,5.0,176118800.0,17.42,21.203166666666668
2010-03-01,0.010331143547781165,0.21685998783047764,0.2073088632618668,0.20697547543193628,488000.0,0.0,1.0,147709700.0,19.26,21.418166666666664
2010-03-03,0.0008909221079281107,0.2160964901069877,0.20503753141482722,0.2000630379136987,488000.0,2.0,3.0,150785000.0,18.83,21.323333333333334
2010-03-12,8.663115655028984e-05,0.21410179692884945,0.20347600135402363,0.20005213785595252,472000.0,4.0,12.0,162074800.0,17.58,20.845000000000002
2010-03-11,0.0041662763516589684,0.21200410080958443,0.20170947465158343,0.20023526661468524,472000.0,3.0,11.0,160791100.0,18.06,20.9045
2010-03-16,0.007934547811979012,0.20973459324508587,0.20159170701520218,0.20063261725973833,478000.0,1.0,16.0,168673000.0,17.69,20.739333333333335
2010-03-17,0.005909776902793943,0.2077586738507241,0.19864934266682316,0.1922636536900411,478000.0,2.0,17.0,177468100.0,16.91,20.646
2010-03-22,0.005331927045408131,0.2067107447143412,0.19865547269726355,0.20009368806590067,472000.0,0.0,22.0,184477800.0,16.87,20.4585
2010-03-23,0.00700864407382843,0.20602110480578417,0.19913211477269205,0.20243534823309492,472000.0,1.0,23.0,182941600.0,16.35,20.4025
2010-03-24,-0.004866673426079666,0.2053332585712666,0.19954360816735991,0.20229273358802463,472000.0,2.0,24.0,196072600.0,17.55,20.3705
2010-03-25,-0.0016274276719432617,0.2048109539289726,0.20071655364430438,0.20649734464446057,472000.0,3.0,25.0,223396300.0,18.4,20.344999999999995
2010-03-26,-0.0006002658397405307,0.2043726123905771,0.20284740495604484,0.20291791024874337,472000.0,4.0,26.0,205808500.0,17.77,20.307666666666663
2010-03-15,0.00025978783769987847,0.20389482078290894,0.20296091043938783,0.20066121548261562,478000.0,0.0,15.0,146816800.0,18.0,20.786833333333334
2010-03-18,-0.0005124882682958331,0.20294738591578024,0.19994534240466694,0.18735750805949047,478000.0,3.0,18.0,196509100.0,16.62,20.561666666666667
2010-03-19,-0.009184219664424847,0.202684471256526,0.19841484986870114,0.19464027090819566,478000.0,4.0,19.0,226641100.0,16.97,20.503
2010-03-30,0.0006816803205208184,0.20195689109610646,0.19802289195417427,0.20453755507182614,459000.0,1.0,30.0,145772500.0,17.13,20.192333333333334
2010-03-31,-0.0034129896320149603,0.20172548698111162,0.1975498236344312,0.20055256865002805,459000.0,2.0,31.0,161078700.0,17.59,20.151500000000002
2010-04-01,0.006814361886623008,0.20161666666588482,0.1984188762505758,0.20500647856333867,459000.0,3.0,1.0,161215200.0,17.47,20.120166666666666
2010-04-08,0.003457988546435871,0.20193759129964997,0.2021160461253039,0.20584335743313104,479000.0,3.0,8.0,158704000.0,16.48,19.994333333333334
2010-04-09,0.0065458944711913585,0.2012664993307627,0.20251912671034006,0.19665567383337643,479000.0,4.0,9.0,133006500.0,16.14,19.95916666666667
2010-03-29,0.00632749433624552,0.20100368155013956,0.20202717509322707,0.20207779698626124,459000.0,0.0,29.0,134513500.0,17.59,20.26816666666667
2010-04-05,0.008116370051866984,0.20067685693904946,0.20229221309980233,0.20187775868290442,479000.0,0.0,5.0,105847600.0,17.02,20.084500000000002
2010-04-07,-0.005728743504510215,0.20061054236230322,0.20124342433777978,0.19976253475322572,479000.0,2.0,7.0,184576300.0,16.62,20.012166666666666
2010-04-06,0.0023549127490734094,0.20020972102327225,0.19970623404580473,0.19815740597325596,479000.0,1.0,6.0,110384200.0,16.23,20.037333333333333
2010-04-13,0.0007513795903866538,0.20016254809939193,0.20018014599679584,0.19902523358833177,479000.0,1.0,13.0,125043600.0,16.2,19.8975
2010-04-16,-0.01604023573202527,0.20037207699428777,0.2006969413082758,0.20466177354366108,479000.0,4.0,16.0,366786700.0,18.36,19.825333333333333
2010-04-19,0.0037629931252433414,0.20038626176311897,0.2004308558774892,0.20054733152897153,469000.0,0.0,19.0,217947800.0,17.34,19.743166666666664
2010-04-21,-0.001821586982864541,0.2006791835958488,0.20189372844280298,0.2070768975797945,469000.0,2.0,21.0,192910100.0,16.32,19.398666666666667
2010-04-22,0.002979090241266189,0.20147482722960328,0.2042158099746798,0.2097678136326401,469000.0,3.0,22.0,115360300.0,16.47,19.264
2010-04-27,-0.023934720411085488,0.20250817466754611,0.20897622959714196,0.2228273317006426,449000.0,1.0,27.0,355853300.0,22.81,19.020833333333332
2010-04-29,0.012321201596782478,0.20276791568076769,0.20967380499320365,0.20814965052396953,449000.0,3.0,29.0,193775000.0,18.44,18.945
2010-04-30,-0.01710729757085252,0.2038152844427701,0.21463130795782495,0.225334846352078,449000.0,4.0,30.0,270000900.0,22.05,18.952499999999997
2010-05-04,-0.02379564127283211,0.2051745511738849,0.22049617098766308,0.2364012127289852,451000.0,1.0,4.0,360353400.0,23.84,18.8165
2010-05-06,-0.033777566658954955,0.20921222472352163,0.23689195392928553,0.2917467283407523,451000.0,3.0,6.0,647356600.0,32.8,18.903166666666664
2010-05-07,-0.014986899330149114,0.214647661823126,0.2563746539239394,0.32024083167391193,451000.0,4.0,7.0,637558800.0,40.95,19.162333333333333
2010-05-10,0.043098762888687824,0.21827297729610534,0.2681676135121525,0.26711444846503496,451000.0,0.0,10.0,396159600.0,28.84,19.243666666666666
2010-05-14,-0.01827090174506136,0.22170310568782767,0.27712126334695436,0.27010309552608724,451000.0,4.0,14.0,345601400.0,31.24,19.65083333333333
2010-05-17,0.0005266678584986921,0.22460514054355674,0.2835174851807304,0.2683823218978658,474000.0,0.0,17.0,325739800.0,30.84,19.831166666666668
2010-05-18,-0.013695774111171429,0.2283753499631601,0.28186757468884066,0.2834971758813033,474000.0,1.0,18.0,360556800.0,33.55,20.058
2010-05-20,-0.03849085216379903,0.23483431621508696,0.287240155575204,0.3471037361057285,474000.0,3.0,20.0,530418300.0,45.79,20.71583333333333
2010-05-24,-0.012914135753580372,0.23986725278670892,0.29713085828395974,0.31656796200881393,463000.0,0.0,24.0,269823000.0,38.32,21.362833333333334
2010-05-26,-0.006046829960555952,0.24505150665478437,0.30525209096494954,0.3107092589310365,463000.0,2.0,26.0,349719300.0,35.02,21.884666666666668
2010-05-27,0.03294937629685463,0.24830825438489335,0.30632087599510804,0.27372624704865794,463000.0,3.0,27.0,300870500.0,29.68,22.065499999999997
2010-06-07,-0.012529032177050049,0.25324416118509663,0.3117149824763227,0.31046770828737663,459000.0,0.0,7.0,264609100.0,36.57,23.579
2010-06-08,0.010654996797350371,0.257828908524105,0.3024196304974594,0.30062697621141204,459000.0,1.0,8.0,357774300.0,33.7,23.847666666666665
2010-06-09,-0.005360430232690373,0.26245203551372664,0.29907927804468265,0.29986619974493034,459000.0,2.0,9.0,268023300.0,33.73,24.10983333333333
2010-06-11,0.004843933934698144,0.2662526167498149,0.2934650304149301,0.28263802078227357,459000.0,4.0,11.0,214128200.0,28.79,24.5225
2010-05-13,-0.0125087223112183,0.2683967082546191,0.2890861383350694,0.25183178664935446,451000.0,3.0,13.0,234452500.0,26.68,19.474
2010-05-21,0.014493676151672488,0.2739883781776642,0.29170541064478683,0.32356406983596364,474000.0,4.0,21.0,500909400.0,40.1,21.049166666666668
2010-04-26,-0.0037835216014964414,0.2740578525512434,0.27330108216221155,0.20860533379853566,449000.0,0.0,26.0,143457300.0,17.47,19.051
2010-05-11,-0.0028449693008086737,0.2767645785466806,0.267190999319677,0.2693157855322576,451000.0,1.0,11.0,317849800.0,28.32,19.336833333333335
2010-05-25,0.001020748945032881,0.2802931275386141,0.27075447706785827,0.3004554095231799,463000.0,1.0,25.0,396505200.0,34.61,21.61866666666667
2010-06-04,-0.035768985927143476,0.28402645581033903,0.278444694238371,0.29028287250191814,458000.0,4.0,4.0,398475600.0,35.48,23.270500000000002
2010-06-03,0.0034382679391173052,0.2858946516080128,0.26701891105135855,0.26643515390090156,458000.0,3.0,3.0,226618300.0,29.46,22.988666666666667
2010-04-23,0.006506640887969992,0.28439337376677015,0.2659724643359809,0.20337310022164704,469000.0,4.0,23.0,177335500.0,16.62,19.15533333333333
2010-05-12,0.01388906935119895,0.2823318333672129,0.2613878751396279,0.24639283955049288,451000.0,2.0,12.0,235607100.0,25.52,19.391333333333332
2010-06-01,-0.01696678767425476,0.28133445203040436,0.26095648168781677,0.2982984422641241,458000.0,1.0,1.0,277909400.0,35.54,22.59
2010-06-10,0.028812392020126563,0.28217620636692275,0.2600265159611211,0.28563304386843985,459000.0,3.0,10.0,317890600.0,30.57,24.3245
2010-05-03,0.012878585974287825,0.2798839398410983,0.25067413157253055,0.21967323195794863,451000.0,0.0,3.0,182747900.0,20.19,18.854333333333333
2010-04-15,0.0008248020820841155,0.2766908142131973,0.24962622314500993,0.1981335580840443,479000.0,3.0,15.0,144615300.0,15.89,19.83066666666667
2010-04-14,0.01128549009867139,0.2727274533196824,0.2396083024797065,0.19630323622397564,479000.0,2.0,14.0,161609000.0,15.59,19.858833333333333
2010-05-28,-0.012629059582861854,0.2697795621787829,0.23639864022806947,0.282250131005939,463000.0,4.0,28.0,297933500.0,32.07,22.288
2010-04-12,0.0015879897959134258,0.2643234873348209,0.2185788945427117,0.19653431544165104,479000.0,0.0,12.0,110279000.0,15.58,19.921333333333333
2010-05-05,-0.005974217725888501,0.2613357403216934,0.22364001307956802,0.24497882464223011,451000.0,2.0,5.0,328973200.0,24.91,18.78983333333333
2010-06-02,0.025706023796945848,0.2612737902100786,0.23848597038138605,0.27236334459313444,458000.0,2.0,2.0,240243700.0,30.17,22.796333333333337
2010-04-20,0.008891155187772535,0.2559653651762075,0.23796179464503303,0.19368235754221053,469000.0,1.0,20.0,157708000.0,15.73,19.550166666666666
2010-04-28,0.007567462330393888,0.2520948583542543,0.22460693366953383,0.21547582612844307,449000.0,2.0,28.0,300674100.0,21.08,18.99566666666667
2010-06-15,0.02248298374425454,0.25014327769470474,0.23668635562817136,0.25693142523483875,467000.0,1.0,15.0,238268700.0,25.87,24.870166666666663
2010-06-16,-0.00035721557960314394,0.2488640793280492,0.23858972204289572,0.25449565671585184,467000.0,2.0,16.0,216374000.0,25.92,25.021
2010-06-18,-0.0036628083684126195,0.24892508266813732,0.2347518251505273,0.25317386013129234,467000.0,4.0,18.0,174006600.0,23.95,25.272666666666666
2010-06-22,-0.01665351155734247,0.2463296289379813,0.24930817119659165,0.2664640877725323,452000.0,1.0,22.0,239355400.0,27.05,25.535333333333334
2010-06-23,-0.0031078360968683017,0.24904247960577963,0.2598706156689228,0.2682880484900988,452000.0,2.0,23.0,254639900.0,26.91,25.69066666666667
2010-06-25,0.0041804603397851345,0.24905363325771052,0.26239656379690246,0.269561165874737,452000.0,4.0,25.0,238726500.0,28.53,26.083166666666667
2010-06-14,-0.0015511477032190708,0.2473389684012789,0.2640439889900691,0.26273278268168504,467000.0,0.0,14.0,207196100.0,28.58,24.721833333333333
2010-06-24,-0.016709412461627115,0.2465447140968416,0.26797107252467,0.2728092778042968,452000.0,3.0,24.0,268523600.0,29.74,25.90083333333333
2010-06-21,-0.0028681474350449043,0.24541484168429942,0.26299384713515844,0.24157796082497462,452000.0,0.0,21.0,213140700.0,24.88,25.38066666666667
2010-06-17,0.00160642606261037,0.2470770450122558,0.25732455212447614,0.239941573436687,467000.0,3.0,17.0,263185800.0,25.05,25.165999999999997
2010-06-28,-0.0031569570958869626,0.24832787039410098,0.25819451853974595,0.2739109979510862,464000.0,0.0,28.0,169218600.0,29.0,26.275333333333332
2010-06-29,-0.031361784694376636,0.24868469558468725,0.26687768129481326,0.3061485964570215,464000.0,1.0,29.0,373649500.0,34.13,26.560499999999998
2010-06-30,-0.009545441999702024,0.2500435104488692,0.27542121991004254,0.3155269708804434,464000.0,2.0,30.0,284101700.0,34.54,26.865666666666662
2010-07-01,-0.004466450704117293,0.2541053443119179,0.2889123431340516,0.30903357694502,464000.0,3.0,1.0,382924800.0,32.86,27.136333333333333
2010-07-02,-0.005464543289112469,0.2592326427230844,0.3031108530726556,0.31093412312970703,464000.0,4.0,2.0,233385200.0,30.12,27.363666666666667
2010-07-06,0.006534435890563271,0.2633970131636746,0.3059125306658304,0.2879193859169602,454000.0,1.0,6.0,256935300.0,29.65,27.588833333333334
2010-07-07,0.03101021700372179,0.2629587043044346,0.2992042785949579,0.27260733610265897,454000.0,2.0,7.0,253769400.0,26.84,27.7765
2010-07-08,0.009846780694086829,0.2661406399398791,0.2894062643031552,0.2665368994214297,454000.0,3.0,8.0,210842100.0,25.71,27.935
2010-07-09,0.007437696883345683,0.26751325780865465,0.28263483246520976,0.2751764177552929,454000.0,4.0,9.0,144999900.0,24.98,28.0915
2010-07-13,0.014975749380077659,0.2670415006584087,0.272844945296813,0.26198468728772323,439000.0,1.0,13.0,213025900.0,24.56,28.33716666666667
2010-07-14,-9.121334853218384e-05,0.27023961920014017,0.2680692612054815,0.2640409654603028,439000.0,2.0,14.0,184426800.0,24.89,28.463
2010-07-15,0.000273542150307984,0.27273511690621893,0.2676231491173847,0.27037677566217494,439000.0,3.0,15.0,232337900.0,25.14,28.619833333333336
2010-07-16,-0.027920792579259706,0.2735746619838204,0.26939605262151306,0.2754014169420716,439000.0,4.0,16.0,282693400.0,26.25,28.78533333333333
2010-07-19,0.005889215294388553,0.2747346847637166,0.2703640006451683,0.28001615787356887,462000.0,0.0,19.0,186709000.0,25.97,28.94366666666667
2010-07-21,-0.013083025676773675,0.2755591435218738,0.27222945374977386,0.27131195281075104,462000.0,2.0,21.0,264527000.0,25.64,29.201666666666664
2010-07-22,0.022076350409836038,0.27532375061536096,0.2716783494235633,0.2612854438292499,462000.0,3.0,22.0,274781300.0,24.63,29.232000000000003
2010-07-26,0.01036179915206795,0.2745662829185662,0.26792774612325115,0.25162375916061425,465000.0,0.0,26.0,184445700.0,22.73,29.34333333333333
2010-07-27,-8.959705940453511e-05,0.27353425595190833,0.2622187772564896,0.24685657260826394,465000.0,1.0,27.0,204855600.0,23.19,29.362333333333332
2010-07-29,-0.004884244448156233,0.2732028545051243,0.25730393585226297,0.2554419508524355,465000.0,3.0,29.0,220149100.0,24.13,29.434833333333337
2010-08-02,0.02232980741805989,0.27172562212057333,0.2511035783589478,0.24031016534417562,476000.0,0.0,2.0,188263200.0,22.01,29.2315
2010-08-09,0.0053243448878862185,0.27179171058225754,0.2474528709895032,0.24303190698202684,483000.0,0.0,9.0,120800400.0,22.14,28.573333333333334
