,LR,BATCH_SIZE,NUM_EPOCHS,LATENT_DIM,ATT,FULL_IVS,VAE_ID,NUM_LAYERS,NUM_HEADS,HIDDEN_SIZE,MEAN_LOSS,STD_LOSS,RATIO,ID#,USE_EXOG,SELF
35,0.001,8.0,80.0,2.0,False,False,127582.0,8.0,0.0,256.0,0.0083493014735259,0.0108231409954998,0.7714305373086731,8125458.0,True,False
36,0.001,8.0,80.0,2.0,True,False,127582.0,8.0,1.0,256.0,0.0075839982007521,0.0331339368816496,0.2288891364718082,9101779.0,True,False
37,0.001,8.0,80.0,40.0,True,False,7164519.0,8.0,1.0,256.0,0.0075080881330162,0.027678980667933,0.2712559477204534,9651321.0,True,False
38,0.0003,8.0,80.0,40.0,True,True,7164519.0,8.0,8.0,256.0,0.0441614592222564,0.1092004847750549,0.404407171939079,3833321.0,True,False
39,0.0003,8.0,80.0,40.0,True,True,7164519.0,8.0,16.0,256.0,0.0339722927356067,0.1061443550849373,0.3200574605067029,4292666.0,True,False
40,0.0003,8.0,80.0,40.0,True,True,7164519.0,8.0,32.0,256.0,0.0311788921226216,0.1075184648584322,0.2899863959523083,8521729.0,True,False
41,0.001,8.0,80.0,40.0,False,True,7164519.0,8.0,32.0,256.0,0.0649899705554633,0.1055754865393393,0.6155782245080816,1129642.0,False,False
42,0.0003,8.0,80.0,40.0,True,True,7164519.0,8.0,8.0,256.0,0.02938163302164,0.1051698278902954,0.2793732157885487,7258314.0,False,False
43,0.0003,8.0,80.0,40.0,True,True,7164519.0,8.0,8.0,256.0,0.028347188924893,0.1022817139757377,0.2771481609275467,4424959.0,True,True
44,0.0003,8.0,80.0,40.0,True,True,7164519.0,8.0,16.0,256.0,0.0290491001842472,0.0985448386116138,0.294780534358942,4567411.0,True,True
45,0.0003,8.0,80.0,40.0,True,True,7164519.0,8.0,64.0,256.0,0.0328951992081758,0.1155592761368254,0.284660827826812,751008.0,True,False
46,0.0003,8.0,80.0,10.0,True,False,3944192.0,8.0,8.0,256.0,0.0,0.0,,5559426.0,True,False
47,0.0003,8.0,80.0,10.0,True,False,3944192.0,8.0,16.0,256.0,0.0093337573097559,0.0126239029539277,0.7393717571990563,8892770.0,True,False
48,0.0003,8.0,80.0,10.0,True,False,3944192.0,8.0,32.0,256.0,0.0102848623430849,0.0300519210804178,0.3422364352536085,9078141.0,True,False
49,0.0003,8.0,80.0,10.0,True,False,3944192.0,8.0,64.0,256.0,0.0098888589873845,0.0219023663694495,0.4514972866666132,7946191.0,True,False
50,0.001,8.0,80.0,10.0,True,True,3944192.0,8.0,1.0,256.0,0.0250051702511015,0.0927985219886347,0.2694565572301249,265106.0,False,False
51,,,,,,,,,,,,,,,,False
52,0.0003,8.0,80.0,10.0,True,True,3944192.0,8.0,8.0,256.0,0.0326859124533152,0.1073340661189902,0.3045250556061085,1289464.0,True,False
53,0.001,8.0,80.0,40.0,False,False,7164519.0,8.0,1.0,256.0,0.0084290582777904,0.0261281667391737,0.3226042746103877,8768623.0,True,False
54,0.001,8.0,80.0,40.0,False,False,7164519.0,8.0,1.0,256.0,0.0098717258654789,0.0397581051157618,0.2482946769403587,8164274.0,True,False
55,0.001,8.0,80.0,40.0,True,True,7164519.0,8.0,8.0,256.0,0.0372141366230995,0.1260542301712475,0.2952232271185447,7646329.0,True,False
56,0.001,8.0,80.0,40.0,True,True,7164519.0,8.0,8.0,256.0,1.0,0.0,inf,4056165.0,True,False
57,0.001,8.0,80.0,40.0,True,True,7164519.0,8.0,16.0,256.0,1.0,0.0,inf,5030929.0,True,False
