,LR,NUM_EPOCHS,ARB_MULT,NUM_LAYERS,LAYERS,MEAN_RE_LOSS,STD_RE_LOSS,RE_RATIO,MEAN_CAL_LOSS,STD_CAL_LOSS,CAL_RATIO,MEAN_BUT_LOSS,STD_BUT_LOSS,BUT_RATIO,ID#,FULL
0,0.001,120,1.0,4,"[128, 128, 128, 128]",0.0011372119544399,0.0023204626241509,0.490079841236879,0.0,0.0,,0.0,0.0,,3951028,
1,0.001,120,1.0,4,"[128, 128, 128, 128]",0.0288301767979261,0.0164878169661533,1.74857452973366,0.0,0.0,,0.0,0.0,,9930768,True
2,0.001,120,1.0,4,"[128, 128, 128, 128]",0.026966180830538,0.0169251541115843,1.5932605784712512,0.0,0.0,,1.7889896051187266e-08,4.040107352142585e-07,0.0442807442770047,9930768,True
3,0.001,120,1.0,4,"[128, 128, 128, 128]",0.1637656511210339,0.0195702103474744,8.368108886584738,0.0,0.0,,0.0,0.0,,9930768,True
4,0.001,120,1.0,4,"[128, 128, 128, 128]",0.026966180830538013,0.016925154111584385,1.5932605784712512,0.0,0.0,,1.7889896051187266e-08,4.040107352142585e-07,0.04428074427700477,9930768,True
